Building,Building_Abbreviation,Room_Type,Gender,Available_Bed_Spaces,Last_Updated
Palo Verde,PV,4 Bd/10 Person-Triple,Gender Inclusive,1,2/19/2025 14:01
Palo Verde,PV,4 Bd/10 Person-Triple,Male,68,2/19/2025 14:01
Tipuana,TN,2 Bd/4 Person,Female,0,2/19/2025 14:01
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,0,2/19/2025 14:01
Tipuana,TN,2 Bd/4 Person,Male,0,2/19/2025 14:01
Tipuana,TN,4 Bd/10 Person-Double,Female,8,2/19/2025 14:01
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,0,2/19/2025 14:01
Tipuana,TN,4 Bd/10 Person-Double,Male,51,2/19/2025 14:01
Tipuana,TN,4 Bd/10 Person-Triple,Female,249,2/19/2025 14:01
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,0,2/19/2025 14:01
Tipuana,TN,4 Bd/10 Person-Triple,Male,154,2/19/2025 14:01
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,0,2/19/2025 14:01
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,0,2/19/2025 14:01
Westwood Chateau Apartments,WC,1 Bd/3 Person,Non-Binary,0,2/19/2025 14:01
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,0,2/19/2025 14:01
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,0,2/19/2025 14:01
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,0,2/19/2025 14:01
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,0,2/19/2025 14:01
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,0,2/19/2025 14:01
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,2/19/2025 14:01
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,0,2/19/2025 14:01
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,0,2/19/2025 14:01
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,2/19/2025 14:01
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,0,2/19/2025 14:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,519,2/21/2025 11:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,15,2/21/2025 11:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,258,2/21/2025 11:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 11:00
De Neve Residence Hall,DN,Deluxe Triple,Female,205,2/21/2025 11:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,9,2/21/2025 11:00
De Neve Residence Hall,DN,Deluxe Triple,Male,99,2/21/2025 11:00
Dykstra Hall,DYK,Classic Triple,Female,418,2/21/2025 11:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2/21/2025 11:00
Dykstra Hall,DYK,Classic Triple,Male,241,2/21/2025 11:00
Hedrick Hall,HED,Classic Triple,Female,577,2/21/2025 11:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/21/2025 11:00
Hedrick Hall,HED,Classic Triple,Male,364,2/21/2025 11:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,243,2/21/2025 11:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2/21/2025 11:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,121,2/21/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Female,572,2/21/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,23,2/21/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Male,262,2/21/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2/21/2025 11:00
Rieber Hall,RIE,Classic Triple,Female,536,2/21/2025 11:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/21/2025 11:00
Rieber Hall,RIE,Classic Triple,Male,365,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,330,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,28,2/21/2025 11:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,204,2/21/2025 11:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/21/2025 11:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/21/2025 11:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,302,2/21/2025 11:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,26,2/21/2025 11:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,222,2/21/2025 11:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,72,2/21/2025 11:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2/21/2025 11:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,11,2/21/2025 11:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,122,2/21/2025 11:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,8,2/21/2025 11:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,33,2/21/2025 11:00
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2/21/2025 11:00
Sproul Landing / Cove,SLC,Deluxe Triple,Other,2,2/21/2025 11:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,399,2/21/2025 11:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/21/2025 11:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,250,2/21/2025 11:00
Sproul Hall,SPR,Classic Triple,Female,475,2/21/2025 11:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,2/21/2025 11:00
Sproul Hall,SPR,Classic Triple,Male,311,2/21/2025 11:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,281,2/21/2025 11:00
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,14,2/21/2025 11:00
Sunset Village,SV,Plaza Triple/Private Bath,Male,165,2/21/2025 11:00
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,5,2/21/2025 11:00
Sunset Village,SV,Plaza Triple/Shared Bath,Female,340,2/21/2025 11:00
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,12,2/21/2025 11:00
Sunset Village,SV,Plaza Triple/Shared Bath,Male,238,2/21/2025 11:00
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2/21/2025 11:00
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 11:00
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2/21/2025 11:00
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,2/21/2025 11:00
Gayley Heights,GH,1 Bd/3 Person,Female,0,2/21/2025 11:00
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,2/21/2025 11:00
Gayley Heights,GH,1 Bd/3 Person,Male,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/6 Person,Female,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/6 Person,Male,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,2/21/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,2/21/2025 11:00
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,2/21/2025 11:00
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,2/21/2025 11:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,2/21/2025 11:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,2/21/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,2/21/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,2/21/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,2/21/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,2/21/2025 11:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,2/21/2025 11:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,2/21/2025 11:00
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,2/21/2025 11:00
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 11:00
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,2/21/2025 11:00
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,2/21/2025 11:00
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,2/21/2025 11:00
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,2/21/2025 11:00
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,2/21/2025 11:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,2/21/2025 11:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,2/21/2025 11:00
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,2/21/2025 11:00
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 11:00
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,2/21/2025 11:00
Laurel,LA,2 Bd/4 Person,Female,0,2/21/2025 11:00
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 11:00
Laurel,LA,2 Bd/4 Person,Male,0,2/21/2025 11:00
Laurel,LA,2 Bd/4 Person,Non-Binary,0,2/21/2025 11:00
Laurel,LA,4 Bd/10 Person-Double,Female,0,2/21/2025 11:00
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 11:00
Laurel,LA,4 Bd/10 Person-Double,Male,0,2/21/2025 11:00
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,2/21/2025 11:00
Laurel,LA,4 Bd/10 Person-Triple,Female,57,2/21/2025 11:00
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 11:00
Laurel,LA,4 Bd/10 Person-Triple,Male,88,2/21/2025 11:00
Laurel,LA,4 Bd/10 Person-Triple,Non-Binary,4,2/21/2025 11:00
Landfair Apartments,LF,2 Bd/4 Person,Female,0,2/21/2025 11:00
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 11:00
Landfair Apartments,LF,2 Bd/4 Person,Male,0,2/21/2025 11:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,0,2/21/2025 11:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,2/21/2025 11:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,0,2/21/2025 11:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Male,0,2/21/2025 11:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Female,0,2/21/2025 11:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Male,0,2/21/2025 11:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Female,0,2/21/2025 11:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Gender Inclusive,0,2/21/2025 11:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Male,8,2/21/2025 11:00
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Female,0,2/21/2025 11:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Female,0,2/21/2025 11:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Male,0,2/21/2025 11:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Female,0,2/21/2025 11:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 11:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Male,0,2/21/2025 11:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Female,0,2/21/2025 11:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Male,0,2/21/2025 11:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Female,0,2/21/2025 11:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Male,0,2/21/2025 11:00
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Gender Inclusive,0,2/21/2025 11:00
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Gender Inclusive,0,2/21/2025 11:00
Landfair Vista Apartments,LV,3 Bd/6 Person,Female,0,2/21/2025 11:00
Landfair Vista Apartments,LV,3 Bd/6 Person,Male,0,2/21/2025 11:00
Palo Verde,PV,2 Bd/4 Person,Female,0,2/21/2025 11:00
Palo Verde,PV,2 Bd/4 Person,Male,0,2/21/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Double,Female,0,2/21/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Double,Male,0,2/21/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Triple,Female,48,2/21/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Triple,Male,43,2/21/2025 11:00
Tipuana,TN,2 Bd/4 Person,Female,0,2/21/2025 11:00
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 11:00
Tipuana,TN,2 Bd/4 Person,Male,0,2/21/2025 11:00
Tipuana,TN,4 Bd/10 Person-Double,Female,0,2/21/2025 11:00
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 11:00
Tipuana,TN,4 Bd/10 Person-Double,Male,0,2/21/2025 11:00
Tipuana,TN,4 Bd/10 Person-Triple,Female,64,2/21/2025 11:00
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 11:00
Tipuana,TN,4 Bd/10 Person-Triple,Male,123,2/21/2025 11:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,0,2/21/2025 11:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,0,2/21/2025 11:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Non-Binary,0,2/21/2025 11:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,0,2/21/2025 11:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 11:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,0,2/21/2025 11:00
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,0,2/21/2025 11:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,0,2/21/2025 11:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,2/21/2025 11:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,0,2/21/2025 11:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,0,2/21/2025 11:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 11:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,0,2/21/2025 11:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,222,3/3/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,9,3/3/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,32,3/3/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,3/3/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Female,15,3/3/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,3,3/3/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Male,2,3/3/2025 10:00
Dykstra Hall,DYK,Classic Triple,Female,325,3/3/2025 10:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,3/3/2025 10:00
Dykstra Hall,DYK,Classic Triple,Male,197,3/3/2025 10:00
Hedrick Hall,HED,Classic Triple,Female,542,3/3/2025 10:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,3/3/2025 10:00
Hedrick Hall,HED,Classic Triple,Male,361,3/3/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,117,3/3/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,3/3/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,0,3/3/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Female,20,3/3/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,12,3/3/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Male,0,3/3/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,3/3/2025 10:00
Rieber Hall,RIE,Classic Triple,Female,477,3/3/2025 10:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,45,3/3/2025 10:00
Rieber Hall,RIE,Classic Triple,Male,344,3/3/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,3/3/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,3/3/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,3/3/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,68,3/3/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,25,3/3/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,34,3/3/2025 10:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,3/3/2025 10:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,3/3/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,136,3/3/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,22,3/3/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,114,3/3/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Non-Binary,3,3/3/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,18,3/3/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,3/3/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,0,3/3/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,18,3/3/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,5,3/3/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,0,3/3/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,3/3/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Other,0,3/3/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,373,3/3/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,3/3/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,238,3/3/2025 10:00
Sproul Hall,SPR,Classic Triple,Female,253,3/3/2025 10:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,3/3/2025 10:00
Sproul Hall,SPR,Classic Triple,Male,168,3/3/2025 10:00
Sproul Hall,SPR,Classic Triple,Non-Binary,0,3/3/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,131,3/3/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,10,3/3/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Male,18,3/3/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,2,3/3/2025 10:00
Sunset Village,SV,Plaza Triple/Shared Bath,Female,153,3/3/2025 10:00
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,9,3/3/2025 10:00
Sunset Village,SV,Plaza Triple/Shared Bath,Male,123,3/3/2025 10:00
Sunset Village,SV,Plaza Triple/Shared Bath,Non-Binary,5,3/3/2025 10:00
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,3/3/2025 10:00
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,3/3/2025 10:00
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,3/3/2025 10:00
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,3/3/2025 10:00
Gayley Heights,GH,1 Bd/3 Person,Female,0,3/3/2025 10:00
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,3/3/2025 10:00
Gayley Heights,GH,1 Bd/3 Person,Male,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/6 Person,Female,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/6 Person,Male,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,3/3/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,3/3/2025 10:00
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,3/3/2025 10:00
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,3/3/2025 10:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,3/3/2025 10:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,3/3/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,3/3/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,3/3/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,3/3/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,3/3/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,3/3/2025 10:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,3/3/2025 10:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,3/3/2025 10:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,3/3/2025 10:00
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,3/3/2025 10:00
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,3/3/2025 10:00
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,3/3/2025 10:00
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,3/3/2025 10:00
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,3/3/2025 10:00
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,3/3/2025 10:00
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,3/3/2025 10:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,3/3/2025 10:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,3/3/2025 10:00
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,3/3/2025 10:00
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,3/3/2025 10:00
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,3/3/2025 10:00
Laurel,LA,2 Bd/4 Person,Female,0,3/3/2025 10:00
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,3/3/2025 10:00
Laurel,LA,2 Bd/4 Person,Male,0,3/3/2025 10:00
Laurel,LA,2 Bd/4 Person,Non-Binary,0,3/3/2025 10:00
Laurel,LA,4 Bd/10 Person-Double,Female,0,3/3/2025 10:00
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,3/3/2025 10:00
Laurel,LA,4 Bd/10 Person-Double,Male,0,3/3/2025 10:00
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,3/3/2025 10:00
Laurel,LA,4 Bd/10 Person-Triple,Female,40,3/3/2025 10:00
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,3/3/2025 10:00
Laurel,LA,4 Bd/10 Person-Triple,Male,78,3/3/2025 10:00
Laurel,LA,4 Bd/10 Person-Triple,Non-Binary,4,3/3/2025 10:00
Landfair Apartments,LF,2 Bd/4 Person,Female,0,3/3/2025 10:00
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,0,3/3/2025 10:00
Landfair Apartments,LF,2 Bd/4 Person,Male,0,3/3/2025 10:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,0,3/3/2025 10:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,3/3/2025 10:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,0,3/3/2025 10:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Male,0,3/3/2025 10:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Female,0,3/3/2025 10:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Male,0,3/3/2025 10:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Female,0,3/3/2025 10:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Gender Inclusive,0,3/3/2025 10:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Male,7,3/3/2025 10:00
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Female,0,3/3/2025 10:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Female,0,3/3/2025 10:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Male,0,3/3/2025 10:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Female,0,3/3/2025 10:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Gender Inclusive,0,3/3/2025 10:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Male,0,3/3/2025 10:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Female,0,3/3/2025 10:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Male,0,3/3/2025 10:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Female,0,3/3/2025 10:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Male,0,3/3/2025 10:00
